Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
KIFC1,0.9991,0.9466,0.9758,0.1535,0.9613,0.9788,0.3028,0.9305,0.261,0.1786
RPL12P1,0.8736,0.9741,0.5417,0.9879,0.8473,0.7137,0.8785,0.6436,0.8757,0.7184
PHF1,0.979,0.2646,0.5978,0.7556,0.1271,0.6337,0.6944,0.0682,0.2804,0.4634
CUTA,0.4177,0.1407,0.4231,0.8354,0.589,0.978,0.685,0.5356,0.422,0.6879
SYNGAP1,0.0383,0.9794,0.03,0.8289,0.0885,0.8443,0.0603,0.0731,0.8367,0.0601
SYNGAP1-AS1,0.0367,0.1137,0.0146,0.1451,0.8127,0.5356,0.9021,0.6305,0.7017,0.4455
MIR5004,0.2822,0.998,0.2802,0.5341,0.5747,1.0,0.0891,0.562,0.4538,0.0871
ZBTB9,0.0425,0.9664,0.2112,0.6306,0.1265,0.4641,0.0603,0.2719,0.5516,0.1416
GGNBP1,0.3578,0.1257,0.6119,0.2641,0.4463,0.4203,0.985,0.3841,1.0,0.4202
RF00017,0.707,0.7103,0.9715,0.0166,0.8416,0.5148,0.0675,0.9822,0.0796,0.0845
BAK1,0.0632,0.6167,0.369,0.7087,0.1179,0.497,0.1264,0.268,0.8614,0.3258
LINC00336,0.8233,0.5287,0.0283,0.4014,0.4384,0.155,0.6742,0.0834,0.3575,0.3595
ITPR3,0.0917,0.4308,0.0195,0.8843,0.5695,0.5247,0.1176,0.3423,0.4648,0.074
UQCC2,0.0081,0.1983,0.0506,0.1061,0.1513,0.2774,0.1169,0.5543,0.8035,0.6529
MIR3934,0.9379,0.4595,0.4761,0.4821,1.0,1.0,1.0,0.0001,0.0001,0.0001
IP6K3,0.79,0.813,0.6091,0.3085,0.9975,1.0,0.2369,1.0,0.5107,0.948
LEMD2,0.6084,0.702,0.5348,0.9245,0.3608,0.9128,0.545,0.3402,0.7279,0.5067
MLN,0.7086,0.9469,0.1107,0.7167,0.0001,0.4597,0.0001,0.4253,0.0001,0.2389
LINC01016,0.7164,0.95,0.7765,0.15,0.0001,0.2815,0.4598,1.0,0.4575,0.3525
AL138889.1,0.7147,0.9497,0.8946,0.0644,0.0001,0.2864,0.0766,1.0,0.2756,0.3676
GRM4,0.12,0.4688,0.1731,0.0198,0.0874,0.7188,0.9643,0.1209,0.0093,0.4675
CYCSP55,0.8136,0.5216,0.9742,0.8117,0.8024,0.2671,0.2723,0.5613,0.7293,0.6939
HMGA1,0.4415,0.8392,0.7701,0.8891,0.4167,0.6584,0.4327,0.6076,0.9475,0.713
SMIM29,0.5984,0.7335,0.6304,0.8296,0.8585,0.4519,0.7733,0.5602,0.949,0.5854
AL354740.1,0.3012,0.917,0.5666,0.6029,0.3614,0.6807,0.2335,0.5649,0.6935,0.3819
RPL35P2,1.0,1.0,0.2406,0.8192,0.9279,0.2183,0.9918,0.4375,0.6162,0.2647
NUDT3,0.2393,0.8485,0.2466,0.7304,0.3155,0.9177,0.262,0.3108,0.9309,0.265
RPS10,0.7956,0.7332,0.7152,0.5128,0.6941,0.966,0.7695,0.6344,0.5055,0.7814
RPS10-NUDT3,0.8385,0.7296,0.7074,0.5157,0.7097,0.9158,0.7356,0.6305,0.5065,0.7815
PACSIN1,0.2761,0.8196,0.0903,0.9543,0.1324,0.5922,0.2533,0.0471,0.5741,0.0769
SPDEF,0.6724,0.5308,0.638,0.9637,0.8776,0.9784,0.6774,1.0,0.3257,0.5498
AL031577.1,0.2401,0.2241,0.4293,0.0526,0.0028,0.1939,0.0473,0.9335,0.4131,0.3334
C6orf106,0.3257,0.7993,0.2676,0.3449,0.2796,0.8873,0.1006,0.2535,0.4096,0.0887
RPL7P25,1.0,0.7013,0.1397,0.1058,0.8504,0.1252,0.2783,0.4811,0.4864,0.8204
RN7SL200P,0.0033,0.6181,0.8062,0.0604,0.0023,0.1796,0.0006,0.999,0.2513,0.2024
AL031577.2,0.0482,0.9834,0.9779,0.9956,0.3183,0.4296,0.0271,0.8538,0.9995,0.9696
AL451165.2,0.1528,0.9376,0.1093,0.8976,0.2772,0.7794,0.2128,0.3478,0.8766,0.2445
AL451165.1,0.7108,0.9502,0.7189,0.0693,0.0001,0.0001,0.4558,0.0001,0.3401,0.4596
AL139100.1,0.9959,0.3338,0.9802,0.4444,0.7338,0.9783,0.745,0.4638,0.2011,0.7639
SNRPC,0.0808,0.3974,0.2289,0.0501,0.3105,0.5579,0.7616,0.7024,0.1969,0.3894
UHRF1BP1,0.0115,0.6879,0.0511,0.3429,0.0346,0.7135,0.0014,0.2343,0.0925,0.0223
TAF11,0.3028,0.6669,0.1031,0.5486,0.2187,0.6028,0.191,0.1014,0.855,0.072
ANKS1A,0.0666,0.5585,0.1331,0.8806,0.0752,0.8536,0.1157,0.1568,0.6726,0.2151
HSPE1P11,0.2832,0.686,0.6627,0.9578,0.2288,0.2001,0.4521,0.8644,0.7926,0.5288
AL138721.1,0.6258,0.6133,0.8668,0.8625,0.0001,0.2895,0.2918,1.0,1.0,1.0
TCP11,0.9367,0.4626,1.0,0.4119,1.0,0.9929,0.6596,0.4668,0.4293,0.6033
SCUBE3,0.2032,0.8053,0.5787,0.0185,0.3,0.3499,0.0416,0.8348,0.19,0.2961
Z97832.2,0.1086,0.9838,0.3143,0.5128,0.0926,0.6584,0.4097,0.3909,0.5826,0.7122
ZNF76,0.1825,0.8416,0.1311,0.7905,0.2756,0.7955,0.3969,0.3819,0.9496,0.3806
Z97832.1,0.5773,0.641,1.0,0.6642,1.0,0.6136,1.0,0.6175,0.872,0.6265
DEF6,0.8866,0.9682,0.6089,0.719,0.9031,0.6191,0.6857,0.7537,0.817,0.9009
PPARD,0.5378,0.9384,0.2016,0.8699,0.4536,0.4935,0.7014,0.2604,0.826,0.3622
FANCE,0.3722,0.7804,0.4819,0.4184,0.5559,0.8134,0.1062,0.6128,0.1929,0.0985
RPL10A,0.737,0.5229,0.5234,0.1101,0.3863,0.792,0.0919,0.4235,0.3663,0.1464
TEAD3,0.1987,0.1513,0.3907,0.1167,0.8007,0.9766,0.8586,0.996,0.9407,0.6561
TULP1,0.5415,0.5551,0.79,0.641,0.0001,0.422,1.0,1.0,1.0,0.768
AL033519.3,0.0001,0.0001,0.3401,0.1013,0.0001,0.2906,0.4503,1.0,0.338,0.6595
AL033519.2,0.6243,0.0151,0.9897,0.2401,0.3846,0.7704,0.2881,0.0476,0.0038,0.4582
FKBP5,0.2187,0.934,0.1292,0.409,0.2768,0.7742,0.0944,0.3154,0.265,0.0925
AL033519.1,0.5188,0.5156,0.4813,0.4783,0.0001,0.4559,0.4651,0.3339,0.3374,1.0
AL157823.2,0.3672,0.0059,0.0152,0.3715,0.2723,0.1524,0.7741,0.3574,0.0738,0.1432
ARMC12,0.0817,0.385,0.1647,0.9102,0.3121,0.0856,0.2462,0.2474,0.5917,0.3502
LHFPL5,0.013,0.8013,0.0675,0.5496,0.0637,0.5294,0.0206,0.1643,0.3363,0.051
SRPK1,0.0577,0.8302,0.1886,0.4354,0.162,0.5712,0.0413,0.3029,0.2596,0.0661
SLC26A8,0.5375,0.6977,0.5409,0.035,1.0,0.2833,0.238,0.4438,0.2687,0.0336
DPRXP2,0.4483,0.407,0.4492,0.4769,0.0001,0.0001,0.1228,0.0001,0.1464,0.1202
MAPK14,0.6772,0.4851,0.2992,0.1647,0.2664,0.5821,0.0911,0.0953,0.3357,0.0317
Z95152.1,1.0,0.5592,0.749,0.5443,0.6101,0.8415,0.668,0.973,0.8579,0.9586
MAPK13,0.0776,0.7619,0.2272,0.7092,0.156,0.9438,0.0768,0.7231,0.9599,0.569
Z84485.1,0.81,0.7927,0.1333,0.5335,0.5847,0.25,0.3649,0.3676,0.7371,0.4138
BRPF3,0.0106,0.9845,0.0363,0.6584,0.0441,0.885,0.0253,0.1743,0.6845,0.0959
PNPLA1,0.9954,0.5146,1.0,0.1727,0.5381,1.0,0.2342,0.1771,0.7336,0.0632
C6orf222,0.8316,0.4258,0.8126,0.8052,0.1994,1.0,0.9752,0.3057,0.3383,1.0
ETV7,0.5471,0.776,0.1424,0.67,0.859,0.0199,0.2443,0.1737,0.5451,0.1467
Z84484.1,0.5974,0.5404,0.9647,0.5938,0.9603,0.7139,0.9785,0.7113,0.9975,0.6653
PXT1,0.7107,0.2711,0.7579,0.2246,0.1616,0.9732,0.1368,0.5578,0.982,0.5117
KCTD20,0.024,0.9735,0.0227,0.8301,0.0611,0.9936,0.0476,0.0597,0.9007,0.0411
RN7SL502P,0.8465,0.3984,0.4362,0.0052,0.2923,0.4971,0.04,0.9025,0.1849,0.3947
STK38,0.9382,0.729,0.9148,0.2353,0.7169,0.865,0.2698,0.7741,0.4651,0.2544
RN7SL748P,0.3324,0.9819,0.9619,0.3429,0.1173,1.0,0.0001,0.3877,0.1865,1.0
SRSF3,0.7921,0.7278,0.9548,0.4461,0.6203,0.8615,0.3896,0.6919,0.6992,0.3682
PANDAR,0.9109,0.0717,0.5274,0.1628,0.4339,1.0,0.8661,0.3755,0.7745,1.0
LAP3P2,0.9054,0.077,1.0,0.1677,0.4399,1.0,0.8674,0.2967,0.7833,0.5391
CDKN1A,0.3925,0.1105,0.3296,0.0734,0.2281,0.1529,0.192,0.0947,0.7314,0.0652
DINOL,0.3469,0.3444,0.9203,0.2949,0.9416,0.3915,0.1061,0.4093,0.1842,0.3865
RAB44,0.6406,0.3897,0.1303,0.3469,0.4098,0.59,0.7894,0.1177,0.2904,0.7437
CPNE5,0.9957,0.4566,0.4024,0.5039,0.7873,0.5823,0.6303,0.321,0.9774,0.283
Z85996.2,0.9016,0.7635,0.0389,0.5531,0.9885,0.2015,0.6469,0.265,0.8616,0.2938
PPIL1,0.9975,0.5072,0.9034,0.1891,0.5978,0.9236,0.3059,0.6123,0.5091,0.2724
C6orf89,0.0873,0.7582,0.0718,0.7393,0.0956,0.7694,0.2243,0.1214,0.4336,0.1973
AL122034.1,0.0928,0.1024,0.0001,0.0977,0.6359,1.0,1.0,0.4611,1.0,1.0
PI16,0.1797,0.4999,0.8933,0.1376,0.9887,0.4114,0.9077,0.8786,0.9839,0.2184
MTCH1,0.9019,0.4217,0.514,0.6754,0.4493,0.4993,0.8267,0.1991,0.6875,0.3328
FGD2,0.9509,0.5767,0.0702,0.2559,0.5061,0.1586,0.244,0.0701,0.5269,0.025
COX6A1P2,0.2261,0.2858,0.579,0.0566,0.9288,0.3633,0.293,0.5014,0.3692,0.0823
PIM1,0.3943,0.4948,0.9508,0.891,0.3188,0.557,0.4689,0.5478,0.6317,0.8723
TMEM217,0.9193,0.6437,0.2453,0.6794,0.6905,0.2885,0.7417,0.1884,0.8897,0.1761
AL353579.1,0.5806,0.4683,0.466,0.3186,0.7201,0.2301,0.3415,0.1744,0.6541,0.0864
TBC1D22B,0.848,0.6939,0.1185,0.4552,0.5393,0.2121,0.3429,0.1138,0.7444,0.0788
RNF8,0.8642,0.4243,0.5917,0.1446,0.5613,0.5319,0.262,0.1272,0.4589,0.0312
RN7SL273P,0.103,0.1989,0.3346,0.1004,1.0,0.9939,1.0,0.6216,1.0,0.9939
CMTR1,0.7445,0.4867,0.2915,0.2575,0.5501,0.1907,0.3298,0.1207,0.6408,0.0679
CCDC167,0.0013,0.0253,0.154,0.3442,0.1718,0.0503,0.0342,0.3912,0.3649,0.7682
LINC02520,0.9393,0.4766,0.0062,0.4744,1.0,0.0648,1.0,0.0117,0.0001,0.0103
AL353597.2,0.7792,0.5611,0.6615,0.3318,0.5932,0.7276,0.2771,0.7083,0.1733,0.6375
AL353597.1,0.517,0.3981,0.3695,0.7325,0.8513,0.7929,0.6874,0.9555,0.634,0.7776
AL353597.3,0.7685,0.9074,0.0439,0.8873,0.5015,0.1342,0.8501,0.0778,0.7348,0.1115
MDGA1,0.9545,0.7577,0.5493,0.4815,0.7161,0.6196,0.4996,0.8307,0.6381,0.8656
AL121574.1,0.9808,0.875,0.5924,0.8453,0.7222,0.6589,0.656,0.9344,0.9734,0.7651
ZFAND3,0.2887,0.5243,0.0969,0.6893,0.1452,0.56,0.2327,0.1049,0.8722,0.1188
RN7SL285P,0.1435,0.3724,0.0673,0.1728,0.1682,0.1474,0.012,0.5596,0.9007,0.5365
RNU1-87P,0.4375,0.5535,0.8575,0.8851,0.7663,0.3029,0.6626,0.4498,0.6493,0.8178
AL589655.1,0.0562,0.0549,0.2793,0.7156,1.0,0.2871,0.1359,0.1893,0.036,0.7474
BTBD9,0.3431,0.7641,0.0578,0.6024,0.2441,0.3914,0.7499,0.1278,0.5096,0.3121
BTBD9-AS1,0.2403,0.6006,0.5747,0.3821,0.2538,0.3636,0.129,0.828,0.389,1.0
GLO1,0.5846,0.6377,0.2347,0.2576,0.3577,0.5966,0.1491,0.1625,0.4188,0.0499
DNAH8,0.7573,0.4904,0.0948,0.0875,0.7484,0.2912,0.0759,0.3985,0.0043,0.0031
AL034345.2,0.707,0.9763,0.6978,0.8651,0.4609,0.0001,0.2873,0.4569,0.5226,0.2936
GLP1R,0.3219,0.9814,1.0,0.7502,0.4548,0.4439,0.1406,0.9831,0.9622,0.7532
SAYSD1,0.7483,0.6164,0.9147,0.5632,0.461,0.8504,0.4243,0.5208,0.9203,0.4841
ANKRD18EP,0.0025,0.5751,0.0615,0.8834,0.0679,0.3972,0.0292,0.2804,0.6622,0.1508
KCNK5,0.0362,0.8948,0.0213,0.6603,0.0572,0.6791,0.018,0.0838,0.7225,0.0128
KIF6,0.3434,0.1806,0.7167,0.911,0.3489,0.5201,0.4281,0.3337,0.1881,0.8535
DAAM2,0.1653,0.4602,0.3833,0.0556,0.3414,0.7876,0.956,0.2227,0.0712,0.4434
AL592158.1,0.316,0.9521,0.1722,0.3277,1.0,0.6926,0.5365,1.0,1.0,0.5331
AL590999.1,0.0185,0.0782,0.0091,0.006,0.5038,0.9715,0.4579,0.4203,0.3211,0.4701
MOCS1,0.835,0.4937,0.8198,0.1167,0.8732,0.9829,0.426,0.2314,0.0818,0.2008
TUBBP9,0.0981,0.2024,0.0998,0.0257,1.0,1.0,0.7664,0.8312,0.7641,0.7691
FO393411.1,0.9351,0.6634,0.9064,0.9733,0.6556,0.901,0.9757,0.8651,0.7415,0.7716
UNC5CL,0.8882,0.8055,0.6282,0.8603,0.9174,0.7561,0.7614,0.9146,0.6583,0.6427
OARD1,0.9039,0.4939,0.1028,0.301,0.5108,0.2363,0.3667,0.0468,0.7494,0.0344
TSPO2,0.1438,0.0642,0.0699,0.6855,0.7368,0.7575,0.1096,0.7939,0.0905,0.0445
APOBEC2,0.3832,0.2788,0.718,0.0642,0.7017,0.4448,0.0466,0.4141,0.055,0.2906
NFYA,0.0261,0.7113,0.0315,0.1827,0.0217,0.9377,0.0009,0.0296,0.0707,0.0046
ADCY10P1,0.7492,0.0072,0.3337,0.0558,0.0049,0.28,0.0313,0.0679,0.0409,0.4335
TREML2,0.2414,0.2214,0.1884,0.0463,0.7528,0.0238,0.1128,0.027,0.1648,0.0014
TREML3P,0.277,0.1853,0.5161,0.5282,0.0001,0.2353,0.0288,0.4616,0.3615,0.7399
TREML4,0.3461,0.3389,0.6571,0.3857,0.5948,0.1797,0.5343,0.2962,1.0,0.2871
TREML5P,0.6398,0.8403,0.7661,0.634,0.4547,0.4357,0.0001,1.0,0.4659,1.0
AL391903.2,0.717,0.9486,0.1776,0.7128,0.0001,0.435,0.0001,0.456,0.0001,0.3493
AL391903.3,0.7076,0.6634,0.9,0.7039,0.0001,0.4177,0.0001,1.0,0.0001,1.0
TREM1,0.4552,0.2157,0.5668,0.1751,0.2822,0.7655,0.1881,0.2229,0.9679,0.0775
AL391903.1,0.3028,0.6073,0.3092,0.802,0.0001,0.0001,0.0702,0.0001,1.0,0.0735
NCR2,0.7091,0.641,0.8102,0.5745,0.7299,0.2458,0.4901,0.1802,0.7036,0.0907
AL136967.2,0.8975,0.9147,0.712,0.7124,0.5999,1.0,1.0,0.4598,0.4742,0.0001
FOXP4-AS1,0.4822,0.9267,0.3034,0.4652,0.3609,0.0287,0.9409,0.3046,0.2699,0.0085
LINC01276,0.532,0.5474,0.0995,1.0,0.0001,0.0808,0.072,0.1485,1.0,0.3095
FOXP4,0.8963,0.7033,0.375,0.7268,0.6528,0.2986,0.8537,0.2262,0.8651,0.2955
MDFI,0.6378,0.6045,0.6268,0.7997,0.0001,0.0001,0.0719,0.0001,1.0,0.0717
TFEB,0.9236,0.6677,0.8026,0.7618,0.6577,0.7142,0.769,0.4672,0.8482,0.5492
AL035588.1,0.4218,0.99,0.0016,0.1439,0.6557,0.0676,0.8015,0.0306,0.2119,0.1322
PGC,0.0136,0.0001,0.3328,0.3423,0.1288,0.2275,0.2187,1.0,1.0,0.6978
AL365205.3,1.0,0.9336,0.9922,0.613,0.4687,0.2207,0.1149,0.6501,0.5471,0.6514
FRS3,0.8225,0.6694,0.5687,0.9049,0.522,0.7324,0.7339,0.3733,0.7407,0.486
PRICKLE4,0.1232,0.5365,0.0576,0.9769,0.4572,0.6381,0.1441,0.4133,0.5776,0.1661
TOMM6,0.0366,0.271,0.2544,0.5166,0.5022,0.4244,0.2664,0.9524,0.7026,0.7055
USP49,0.0248,0.5369,0.0129,0.5098,0.1322,0.8353,0.1081,0.0695,0.989,0.0488
RF00393,0.7924,0.9985,0.5423,0.1124,0.595,1.0,0.4272,0.4599,0.371,0.1976
AL160163.1,0.2504,0.808,0.5772,0.7874,0.5631,0.348,0.6555,0.7027,1.0,0.6147
MED20,0.53,0.6334,0.9385,0.0667,0.3495,0.5922,0.0509,0.4795,0.1549,0.0425
BYSL,0.9282,0.3821,0.8631,0.3828,0.5232,0.9368,0.522,0.5328,0.9959,0.5576
CCND3,0.7729,0.5304,0.3498,0.2291,0.3364,0.5804,0.1715,0.0867,0.5087,0.0412
AL513008.1,0.6291,0.9486,0.7186,0.7853,1.0,1.0,1.0,0.0001,1.0,0.2874
TAF8,0.9317,0.8999,0.3092,0.3709,0.9662,0.3563,0.4334,0.3828,0.4758,0.1528
AL512274.1,0.2495,0.4741,0.6019,0.1832,0.2698,0.2815,0.8292,0.7954,0.1692,0.1536
C6orf132,0.9152,0.9753,0.8959,0.7913,0.9997,0.789,0.7401,0.8485,0.7953,1.0
GUCA1A,0.399,1.0,1.0,0.0896,0.7315,0.7269,0.5882,1.0,0.2164,0.2148
GUCA1B,0.3832,0.4579,0.3835,0.1501,0.8623,0.8561,0.6387,0.952,0.6175,0.8204
MRPS10,0.695,0.586,0.4228,0.2076,0.3593,0.7292,0.131,0.1947,0.3657,0.0705
TRERF1,0.0092,0.2976,0.0342,0.9333,0.1471,0.481,0.0191,0.261,0.09,0.0292
UBR2,0.4107,0.8289,0.2383,0.1461,0.262,0.7041,0.0492,0.2093,0.1778,0.0411
PRPH2,0.2753,0.3439,0.5091,0.2887,1.0,0.4169,0.1269,0.4539,0.1612,0.8948
ATP6V0CP3,0.6261,0.2163,0.7211,0.7131,1.0,1.0,1.0,0.4603,0.4629,0.0001
TBCC,0.4343,0.5365,0.5735,0.5969,0.2719,0.7806,0.3053,0.3686,0.9426,0.3482
BICRAL,0.0108,0.6291,0.0134,0.638,0.0703,0.9701,0.0144,0.081,0.2692,0.0142
RPL7L1,0.1301,0.994,0.1962,0.6235,0.2144,0.7625,0.1161,0.3057,0.6149,0.1431
C6orf226,0.9421,0.52,0.8945,0.5703,0.575,0.961,0.6116,0.6692,0.3673,0.5297
PTCRA,0.6872,0.927,0.414,0.4045,0.5479,0.3509,0.17,0.4752,0.5045,0.9651
CNPY3,0.6616,0.6272,0.9617,0.5147,0.9994,0.7865,0.9179,0.7808,0.9227,0.6845
AL035587.1,0.7034,0.3517,0.1161,0.0248,0.6874,0.4192,0.265,0.63,0.5037,0.9724
RPL24P4,0.1019,0.327,0.2629,0.0517,0.1632,0.8233,0.8336,0.2929,0.1062,0.7806
GNMT,0.1164,0.6791,0.0129,0.1342,0.4289,0.4021,0.9441,0.1139,0.6098,0.5419
PEX6,0.472,0.4865,0.3496,0.7825,0.9836,0.8228,0.7646,0.8449,0.7877,0.6624
PPP2R5D,0.3458,0.6786,0.2703,0.404,0.1224,0.8541,0.0833,0.1161,0.6094,0.0751
MEA1,0.7649,0.3378,0.7203,0.4549,0.5784,0.6041,0.7301,0.2484,0.8313,0.3528
KLHDC3,0.722,0.6763,0.4002,0.6153,0.5424,0.7067,0.5132,0.379,0.9311,0.3256
RRP36,0.0779,0.2093,0.9074,0.0533,0.6039,0.2432,0.8147,0.4213,0.4365,0.1985
AL136304.1,0.0195,0.9202,0.7001,0.9006,0.0738,0.1394,0.0136,0.853,0.9849,0.8243
RN7SL403P,0.8189,0.9237,0.0249,0.3526,0.8651,0.1577,0.5973,0.1621,0.4895,0.3615
CUL7,0.2824,0.751,0.2047,0.644,0.1575,0.7559,0.1146,0.2321,0.8794,0.1743
KLC4,0.8913,0.6402,0.6868,0.619,0.4779,0.798,0.475,0.437,0.9776,0.4082
MRPL2,0.1773,0.3721,0.5616,0.6467,0.6638,0.4985,0.5118,0.7765,0.7636,0.9397
AL355385.1,0.9051,0.7088,0.9825,0.811,0.8095,0.9507,0.9305,0.7916,0.9221,0.8574
PTK7,0.5508,0.2831,0.7503,0.5335,0.8644,0.7278,0.9313,0.2213,0.5848,0.624
SRF,0.489,0.5574,0.4007,0.9949,0.3385,0.9277,0.5587,0.2512,0.597,0.4808
CUL9,0.1021,0.4573,0.0509,0.5345,0.5525,0.6612,0.4848,0.4889,0.9137,0.3919
AL133375.1,0.8056,0.4567,0.2605,0.0792,0.6238,0.5139,0.1908,0.7201,0.3576,0.9158
DNPH1,0.8056,0.4364,0.6905,0.5937,0.6439,0.6498,0.6093,0.4349,0.4323,0.9064
TTBK1,0.9505,0.3129,0.653,0.8084,0.2664,0.6515,0.9138,0.3427,0.7094,0.901
SLC22A7,0.6716,0.2491,0.1069,0.0513,0.3518,0.1445,0.1437,0.7328,0.7269,0.8789
CRIP3,0.2625,0.385,0.3488,0.9685,0.7347,0.2292,0.2755,0.3454,0.309,0.5091
ZNF318,0.1144,0.9883,0.0218,0.4606,0.2182,0.3945,0.043,0.1222,0.5338,0.0241
RPL12P47,0.0468,0.1969,0.0009,0.0159,0.8805,0.2931,0.9439,0.1362,0.5597,0.5069
AL583834.1,0.4803,0.843,0.0856,0.7695,0.2974,0.4111,0.6433,0.2813,0.3211,0.3692
RPS2P28,0.2439,0.1689,0.0701,0.2526,1.0,0.044,0.2807,0.1632,0.1717,0.5735
ABCC10,0.4052,0.8589,0.2492,0.967,0.6316,0.822,0.4491,0.6445,0.8788,0.5463
DLK2,0.9554,0.5577,0.0801,0.8287,0.3457,0.0889,0.6271,0.0083,0.1421,0.1663
TJAP1,0.7369,0.4473,0.6012,0.9994,0.3487,0.8555,0.7531,0.3458,0.495,0.6787
LRRC73,0.7961,0.2844,0.0347,0.1702,1.0,0.1605,0.4402,0.062,0.1948,0.8869
POLR1C,0.5954,0.2098,0.8449,0.1524,0.4362,0.8452,0.3899,0.5243,0.8361,0.4346
YIPF3,0.9406,0.5082,0.6624,0.7942,0.4718,0.6985,0.7717,0.3459,0.7393,0.5666
AL355802.2,0.6161,0.4587,0.6018,0.4243,0.281,0.9158,0.262,0.6528,0.9752,0.5465
XPO5,0.598,0.94,0.5841,0.0746,0.4912,0.8977,0.0202,0.6565,0.0677,0.0826
AL355802.1,0.3876,0.2517,0.6227,0.255,0.5656,0.4555,0.2831,0.3522,0.2002,0.7765
RF00426,0.0463,0.1061,0.336,0.0133,0.8771,0.5107,0.6589,0.8171,0.4341,0.241
POLH,0.8247,0.5169,0.3277,0.0255,0.2688,0.4562,0.0112,0.138,0.0225,0.0051
POLH-AS1,0.2927,0.908,0.1557,0.6863,0.5192,0.0504,0.5077,0.2744,0.8319,0.1361
GTPBP2,0.1711,0.7649,0.0515,0.7584,0.2964,0.5131,0.1488,0.2524,0.5928,0.1011
MAD2L1BP,0.5147,0.5799,0.6984,0.294,0.9232,0.3576,0.6833,0.3405,0.6307,0.1918
RSPH9,0.0148,0.067,0.3011,0.4855,0.4764,0.282,0.2245,0.5674,0.4511,0.8186
MRPS18A,0.0324,0.0773,0.366,0.3103,0.6432,0.3458,0.4648,0.5406,0.642,0.8903
AL136131.1,0.7155,0.9476,0.7141,0.3119,1.0,0.7191,0.8635,0.0001,1.0,0.2937
AL136131.2,0.9003,0.9164,0.8943,0.8982,0.8461,1.0,0.6872,0.8103,0.5392,0.6984
VEGFA,0.0044,0.4347,0.0047,0.802,0.1578,0.8439,0.0186,0.2309,0.4591,0.0213
AL136131.3,0.0014,0.3852,0.0075,0.3042,0.1294,0.791,0.0022,0.2407,0.3605,0.0257
AL109615.3,0.4122,0.9972,0.3384,0.749,0.1029,0.0387,0.4108,0.3263,0.9375,0.6054
C6orf223,0.9193,0.5042,0.2808,0.5773,0.3093,0.2138,0.4531,0.0747,0.7364,0.0857
AL109615.2,0.3669,0.3666,0.9047,0.4676,0.9917,0.3719,0.3152,0.3828,0.3252,0.6419
AL109615.1,0.3962,0.4697,0.729,0.3987,0.8437,0.8608,1.0,0.8826,0.8116,0.8627
MRPL14,0.5108,0.2147,0.7429,0.34,0.547,0.5112,0.7771,0.2659,0.6832,0.3928
TMEM63B,0.594,0.5394,0.4977,0.9324,0.8577,0.3828,0.5404,0.3763,0.5117,0.664
CAPN11,0.2131,0.8389,0.4928,0.2726,0.5251,0.6309,0.967,0.7567,0.5443,0.6906
MYMX,0.2922,0.2857,0.468,0.6822,0.0001,0.2822,0.356,1.0,0.4505,0.5086
SLC29A1,0.311,0.6265,0.3202,0.5593,0.3028,0.9187,0.2497,0.2649,0.9369,0.2191
HSP90AB1,0.8239,0.4789,0.9011,0.3018,0.4974,0.9447,0.3264,0.5197,0.7875,0.4166
SLC35B2,0.5082,0.3936,0.4405,0.5246,0.1542,0.8907,0.1636,0.2215,0.7391,0.2812
NFKBIE,0.7141,0.2527,0.9427,0.1932,0.5648,0.8272,0.4606,0.4024,0.8648,0.3606
TMEM151B,0.1147,0.9662,0.1151,0.2726,0.3495,0.8398,0.7146,0.4201,0.4706,0.6579
TCTE1,0.9202,0.0542,0.512,0.6584,0.3652,0.8564,0.8695,0.037,0.0767,0.9596
AARS2,0.549,0.7466,0.2121,0.8106,0.4675,0.6167,0.6734,0.3265,0.66,0.5001
SPATS1,0.3087,0.217,0.7141,0.7221,0.841,0.7188,0.8633,0.454,0.5115,0.0716
CDC5L,0.3848,0.6996,0.4129,0.0984,0.1082,0.9078,0.013,0.0806,0.0811,0.0051
SUPT3H,0.2935,0.7482,0.8334,0.1678,0.5778,0.4892,0.8036,0.9309,0.4178,0.354
RBM22P4,0.5274,0.5646,0.576,1.0,0.0001,0.4411,0.0731,0.3316,1.0,0.9852
AL138880.1,0.7357,0.4903,0.2135,0.0198,0.7512,0.6968,0.2228,0.6628,0.2691,0.4188
RUNX2,0.8004,0.3455,0.2579,0.8205,0.1018,0.0306,0.6489,0.9286,0.1192,0.0888
AL096865.1,0.31,0.7402,0.4691,0.7779,0.4622,0.2799,0.4677,0.8041,0.8262,0.7257
CLIC5,0.1927,0.2408,0.1969,0.4793,0.3228,0.2506,0.2971,0.9788,0.7684,0.7809
AL035701.1,0.6268,0.5683,0.2308,0.7965,0.8418,0.1703,0.2643,0.2139,0.2454,0.3871
ENPP4,0.1957,0.2916,0.0133,0.211,0.0172,0.214,0.013,0.0147,0.7588,0.0049
ENPP5,0.506,0.0065,0.3396,0.1311,0.0403,0.3255,0.4618,0.0175,0.057,0.1003
ACTG1P9,0.9539,0.9849,0.9508,1.0,0.4571,0.0001,0.0715,0.457,0.8082,0.0737
