Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
B3GALT6,0.5692,0.6142,0.8022,0.9301,0.3719,0.7746,0.5833,0.4503,0.5942,0.7628
C1QTNF12,0.3585,0.5978,0.4066,0.1677,0.2267,0.981,0.8883,0.1468,0.1608,0.6447
AL162741.1,0.2836,0.6371,0.0091,0.0108,0.579,0.2068,0.2323,0.0985,0.0722,0.6734
UBE2J2,0.8379,0.4754,0.7433,0.8433,0.4943,0.8958,0.9946,0.4045,0.4378,0.9094
LINC01786,0.4684,0.736,0.0694,0.1491,0.3013,0.067,0.5515,0.4508,0.1631,0.0408
SCNN1D,0.9764,0.3044,0.4364,0.0615,0.2969,0.5981,0.1588,0.1489,0.0582,0.5208
ACAP3,0.2085,0.8294,0.3818,0.2338,0.2257,0.995,0.9845,0.6018,0.25,0.9822
PUSL1,0.5615,0.5587,0.9382,0.7188,0.252,0.5717,0.8342,0.6616,0.3189,0.7078
INTS11,0.8245,0.7131,0.5068,0.8844,0.5612,0.7296,0.949,0.4968,0.6279,0.6846
AL139287.1,0.3777,0.6066,0.2662,0.4622,0.628,0.2084,0.1742,0.4035,0.2652,0.779
CPTP,0.7895,0.5508,0.9748,0.9004,0.379,0.7581,0.8808,0.4864,0.4502,0.9135
TAS1R3,0.5286,0.5651,0.421,0.5191,0.1907,0.8461,0.9483,0.4437,0.3621,0.8271
DVL1,0.1171,0.7803,0.2766,0.8136,0.1429,0.8864,0.2321,0.3718,0.5358,0.5749
MXRA8,0.3962,0.6499,0.2604,0.5307,0.3615,0.7609,0.7284,0.473,0.0823,0.9225
AURKAIP1,0.5365,0.3683,0.8579,0.8433,0.746,0.7252,0.5721,0.5483,0.4698,0.7638
NDUFB4P8,0.3816,0.9929,1.0,0.0055,0.601,0.4851,0.2017,0.7963,0.0679,0.0284
CCNL2,0.0744,0.7587,0.0856,0.5683,0.2057,0.8573,0.333,0.4105,0.8065,0.4849
MRPL20-AS1,0.3692,0.7808,0.6189,0.6321,0.6328,0.3455,0.7082,0.5912,0.8585,0.5009
MRPL20,0.0707,0.6108,0.9399,0.1011,0.3196,0.1949,0.8004,0.6873,0.3804,0.2569
RN7SL657P,0.2836,0.2409,0.1165,0.1587,0.8591,0.5959,0.8451,0.746,0.9925,0.7779
AL391244.2,0.1229,0.9177,0.1669,0.2768,0.0935,0.9403,0.7965,0.288,0.2927,0.7894
ANKRD65,0.3325,0.5733,0.8454,0.5505,0.8137,0.029,0.3536,0.2658,0.8841,0.2345
AL391244.1,0.6201,0.5287,0.6996,0.3727,1.0,0.1069,0.7139,0.0681,0.0001,0.036
TMEM88B,0.4202,0.9539,0.9479,0.1329,0.4539,0.2444,0.7659,0.0001,0.2449,0.1008
LINC01770,0.2504,0.9864,0.6258,0.7841,0.0346,0.1793,0.1168,0.3514,0.6804,0.8146
VWA1,0.502,0.3814,0.5047,0.4387,0.3282,0.9351,0.7568,0.2324,0.504,0.6643
ATAD3C,0.6355,0.847,0.7268,0.1067,0.8835,0.6234,0.5155,0.4158,0.5136,0.1271
ATAD3B,0.1796,0.7932,0.2785,0.235,0.4058,0.9814,0.7499,0.6155,0.4767,0.9386
AL645728.2,0.2465,0.4545,0.8173,0.4732,0.6578,0.2985,0.6923,0.5096,1.0,0.4652
ATAD3A,0.2687,0.9355,0.6087,0.5356,0.42,0.6931,0.7491,0.6659,0.6116,0.9626
TMEM240,0.7505,0.6586,0.0354,0.2612,0.3824,0.258,0.5131,0.1646,0.1802,0.4626
SSU72,0.8851,0.5797,0.5144,0.9554,0.5822,0.6355,0.89,0.4283,0.7101,0.5739
AL645728.1,0.3885,0.1494,0.8378,0.1691,0.1209,0.7269,0.5933,0.304,0.1125,0.4418
FNDC10,0.7604,0.73,0.9538,0.8138,0.3353,0.5613,0.3904,0.4724,0.7398,0.6594
AL691432.2,0.4677,0.8361,0.4099,0.5379,0.3195,0.9062,0.8514,0.3435,0.2789,0.7744
