Name,Description,GSM1312748.Yakut.rnaseqccounts,GSM1312745.Yakut.rnaseqccounts,GSM1312749.Yakut.rnaseqccounts,GSM1312744.Yakut.rnaseqccounts,GSM1312747.Yakut.rnaseqccounts,GSM1312746.Yakut.rnaseqccounts
ENSG00000157110.16,RBPMS,15,215,13,140,29,43
ENSG00000279041.1,AC102945.2,0,3,0,3,0,1
ENSG00000197265.9,GTF2E2,538,375,424,359,579,593
ENSG00000253112.1,AC102945.1,0,1,1,1,0,2
ENSG00000253457.2,SMIM18,4,0,3,2,0,2
ENSG00000254172.1,RNU5A-3P,0,0,1,0,0,1
ENSG00000104687.14,GSR,557,658,473,593,768,718
ENSG00000104691.15,UBXN8,84,40,44,34,45,70
ENSG00000271081.1,AC009314.1,0,0,2,0,0,0
ENSG00000104695.13,PPP2CB,263,202,117,236,164,187
ENSG00000133863.8,TEX15,2,4,2,46,0,4
ENSG00000253204.1,AC090281.1,0,0,1,0,0,0
ENSG00000253793.1,AC008066.1,0,0,0,0,0,0
ENSG00000172733.11,PURG,4,0,0,0,2,0
ENSG00000165392.10,WRN,374,208,261,342,364,305
ENSG00000253579.1,SUMO2P16,1,0,0,1,0,2
ENSG00000253961.1,AC009563.1,1,2,0,0,0,0
ENSG00000229211.3,KCTD9P6,0,0,0,0,1,0
ENSG00000253377.1,AC068672.2,0,0,0,0,0,0
ENSG00000254095.1,AC068672.3,0,0,0,0,0,0
ENSG00000253275.1,AC068672.1,0,0,0,0,0,0
ENSG00000222468.1,RNA5SP261,0,0,0,0,0,0
ENSG00000157168.19,NRG1,0,0,0,0,0,0
ENSG00000253974.5,NRG1-IT1,0,0,0,0,0,0
ENSG00000252261.1,RNA5SP262,0,0,0,0,0,0
ENSG00000200246.1,RNA5SP263,0,0,0,0,0,0
ENSG00000254049.1,NRG1-IT3,0,0,0,0,0,0
ENSG00000286131.1,AC083977.1,0,0,0,0,0,0
ENSG00000212407.1,RNU6-663P,0,0,0,0,0,0
ENSG00000247134.6,AC090204.1,110,6,35,34,40,44
ENSG00000254346.2,MTND1P6,0,0,0,2,0,0
ENSG00000254090.1,MTND2P32,0,0,0,0,0,0
ENSG00000253393.1,RANP9,0,0,0,0,0,0
ENSG00000253993.1,AC104027.1,0,0,0,0,0,0
ENSG00000252735.1,RNU6-528P,0,0,0,0,0,0
ENSG00000272338.2,AC067838.1,14,2,23,12,42,35
ENSG00000172728.15,FUT10,21,77,49,85,129,74
ENSG00000254061.1,AC091144.2,0,0,2,2,3,0
ENSG00000129696.12,TTI2,244,251,235,195,308,219
ENSG00000198042.11,MAK16,571,511,412,488,645,580
ENSG00000239039.1,SNORD13,0,0,0,0,0,0
ENSG00000253232.1,AC091144.1,0,0,0,0,0,0
ENSG00000252505.1,RF00156,0,0,0,0,0,0
ENSG00000253995.1,RPL10P18,0,0,2,0,0,0
ENSG00000133874.2,RNF122,122,111,129,102,156,136
ENSG00000240189.3,RN7SL621P,0,0,0,0,0,0
ENSG00000133878.9,DUSP26,0,0,0,0,2,6
ENSG00000253642.5,AF279873.3,0,0,0,0,0,0
ENSG00000253684.1,BUD31P1,0,0,0,0,0,0
ENSG00000263794.2,RN7SL457P,0,0,0,0,0,0
ENSG00000253569.1,VENTXP5,0,0,0,0,0,0
ENSG00000240738.1,AF279873.2,0,0,0,0,0,0
ENSG00000188512.6,AF279873.1,0,0,0,0,0,0
ENSG00000254194.5,AF279873.4,0,0,0,0,0,0
ENSG00000254302.1,AC087855.2,0,0,0,0,0,0
ENSG00000253108.1,AC090993.1,0,0,0,0,0,0
ENSG00000254033.1,AC087855.1,0,0,0,0,0,0
ENSG00000215264.4,RPL10AP3,0,0,0,0,0,0
ENSG00000254344.2,LINC01288,0,0,0,0,0,0
ENSG00000243181.2,AC087343.1,8,5,20,13,9,24
ENSG00000156687.11,UNC5D,0,0,0,0,0,0
ENSG00000279099.1,AC090740.1,0,0,0,0,0,0
ENSG00000232024.2,LSM12P1,1,8,10,2,4,8
ENSG00000253452.5,AC100818.1,0,0,0,0,0,0
ENSG00000253524.1,AC124290.1,0,0,0,0,0,0
ENSG00000254309.1,AC124290.2,0,0,0,0,0,0
ENSG00000253504.1,MTCYBP19,0,0,0,0,0,0
ENSG00000254384.1,MTND6P19,0,0,0,0,0,0
ENSG00000253685.1,MTND5P41,0,0,0,0,0,0
ENSG00000253610.1,AP006245.1,0,0,0,0,0,0
ENSG00000206871.1,RNU6-533P,0,0,0,0,0,0
ENSG00000254320.1,AP006245.2,0,0,0,0,0,0
ENSG00000253363.6,AC090809.1,0,0,0,0,0,0
ENSG00000244708.1,RPL23P10,0,0,0,0,0,0
ENSG00000199985.1,RNA5SP264,0,0,0,0,0,0
